serial	name	descrption	date	category	thumb	info
128	COOLMAX 가성비 NO.2 	PC케이스(ATX) / 미들타워 / 파워미포함 / 표준-ATX / Micro-ATX / 표준-ITX / 쿨링팬: 총1개 / 후면: 80mm x1 / 너비(W): 176mm / 깊이(D): 394mm / 높이(H): 414mm / 파워 위치: 상단 / GPU 장착: 310mm / CPU 장착: 152mm	2019-12-12	6	243	244
129	3RSYS S450 	PC케이스(ATX) / 미들타워 / 파워미포함 / 표준-ATX / Micro-ATX / 표준-ITX / 쿨링팬: 총4개 / LED팬: 1개 / 후면: 120mm LED x1 / 전면: 120mm x3 / 너비(W): 212mm / 깊이(D): 394mm / 높이(H): 450.5mm / 파워 위치: 하단후면 / GPU 장착: 286mm / CPU 장착: 163mm / 외부 LED / 외부LED 컨트롤 / LED 색상: RGB	2019-11-23	6	245	246
130	Antec TORQUE 	PC케이스(ATX) / 미들타워 / 파워미포함 / Extended-ATX / 표준-ATX / Micro-ATX / 표준-ITX / 측면: 강화유리 / 너비(W): 285mm / 깊이(D): 621mm / 높이(H): 644mm / 파워 장착: 255mm / 파워 위치: 하단후면 / GPU 장착: 450mm / CPU 장착: 215mm	2019-06-06	6	247	248
131	마이크로닉스 Classic II 600W +12V Single Rail 85+ 	ATX 파워 / 600W / 20핀+4핀 / 80 PLUS 스탠다드 / 120mm 팬 / 1개(팬) / 액티브PFC / 깊이: 140mm / +12V 싱글레일 / 45A / 4핀 IDE x4 / SATA x6 / 6+2핀 PCI-E x2 / 보조8핀 커넥터 / 보조4핀 커넥터 / FDD 커넥터 / 대기전력 1W / 플랫케이블 / 무상 6년	2013-02-12	7	249	250
132	잘만 MegaMax 600W 80PLUS STANDARD	ATX 파워 / 600W / 20핀+4핀 / 80 PLUS 티타늄 / 120mm 팬 / 1개(팬) / 액티브PFC / 깊이: 140mm / +12V 싱글레일 / 45A / 4핀 IDE x4 / SATA x6 / 6+2핀 PCI-E x2 / 보조8핀(4+4) 커넥터 / 보조4핀 커넥터 / FDD 커넥터 / 대기전력 1W / 플랫케이블 / 80 PLUS 스탠다드 / 무상 6년	2019-12-12	7	251	252
133	ABKO SUITMASTER SETTLER 600W 80PLUS Standard 230V EU	ATX 파워 / 600W / 20핀+4핀 / 80 PLUS 플레티넘 / 120mm 팬 / 1개(팬) / 액티브PFC / 깊이: 140mm / +12V 싱글레일 / 45A / 4핀 IDE x4 / SATA x6 / 6+2핀 PCI-E x2 / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 대기전력 1W / 플랫케이블 / 80 PLUS 스탠다드 / 무상 7년	2019-07-07	7	253	254
134	마이크로닉스 Classic II 750W 80PLUS Bronze 230V EU HDB	ATX 파워 / 750W / 20핀+4핀 / 80 PLUS 골드 / 120mm 팬 / 1개(팬) / 액티브PFC / 깊이: 140mm / +12V 싱글레일 / 62.5A / 4핀 IDE x4 / SATA x6 / 6+2핀 PCI-E x4 / 보조8핀(4+4) 커넥터 / 보조8핀 커넥터 / FDD 커넥터 / 대기전력 1W / 플랫케이블 / 80 PLUS 브론즈 / 무상 6년	2019-08-08	7	255	256
135	FSP HYPER K 500W 80PLUS Standard 230V EU	ATX 파워 / 500W / 24핀 전용 / 80 PLUS 실버 / 120mm 팬 / 1개(팬) / 액티브PFC / +12V 싱글레일 / 38A / 4핀 IDE x3 / SATA x6 / 6+2핀 PCI-E x2 / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 플랫케이블 / 80 PLUS 스탠다드 / 무상 5년 / 2018년 11월 메인커넥터 (20+4핀→24핀) 변경 / 2020년 팬 베어링 변경 (슬리브 - > Rifle)	2016-05-12	7	257	258
136	델타 GPS-1300CB 80PLUS PLATINUM 	ATX 파워 / 1300W / 20핀+4핀 / 80 PLUS 브론즈 / 135mm 팬 / 1개(팬) / 액티브PFC / 깊이: 190mm / +12V 다중레일 / 50A / 4핀 IDE x6 / SATA x9 / 6+2핀 PCI-E x6 / 보조8핀(4+4) 커넥터 / 보조8핀 커넥터 / FDD 커넥터 / 케이블 연결식 / 대기전력 1W / 플랫케이블 / 프리볼트 / 80 PLUS 플레티넘 / 무상 10년	2020-05-12	7	259	260
137	FSP HYPER K 600W 80PLUS Standard 230V EU	ATX 파워 / 600W / 24핀 전용 / 80 PLUS 골드 / 120mm 팬 / 1개(팬) / 액티브PFC / 깊이: 140mm / +12V 싱글레일 / 45A / 4핀 IDE x3 / SATA x6 / 6+2핀 PCI-E x2 / 보조8핀 커넥터 / 플랫케이블 / 80 PLUS 스탠다드 / 무상 5년 / 2018년 11월 메인커넥터 (20+4핀→24핀) 변경 / 2020년 팬 베어링 변경 (슬리브 - > Rifle)	2016-05-25	7	261	262
138	FSP HYDRO PRO 700W 80PLUS Bronze 230V EU 	ATX 파워 / 700W / 24핀 전용 / 80 PLUS 골드 / 120mm 팬 / 1개(팬) / 액티브PFC / 깊이: 140mm / +12V 싱글레일 / 58A / 4핀 IDE x2 / SATA x8 / 6+2핀 PCI-E x4 / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 대기전력 1W / 80 PLUS 브론즈 / 무상 5년	2019-07-07	7	263	264
139	EVGA 600 W2 80PLUS Standard 230V EU	ATX 파워 / 600W / 20핀+4핀 / 80 PLUS 플레티넘 / 120mm 팬 / 1개(팬) / 액티브PFC / 깊이: 140mm / +12V 싱글레일 / 49A / 4핀 IDE x3 / SATA x3 / 6+2핀 PCI-E x2 / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 80 PLUS 스탠다드 / 무상 5년	2019-06-06	7	265	266
140	Antec EAG PRO 750W 80PLUS GOLD 모듈러 	ATX 파워 / 750W / 20핀+4핀 / 80 PLUS 플레티넘 / 120mm 팬 / 1개(팬) / 액티브PFC / 깊이: 140mm / +12V 싱글레일 / 62A / 4핀 IDE x3 / SATA x8 / 6+2핀 PCI-E x4 / 보조8핀(4+4) 커넥터 / 케이블 연결식(전체) / 대기전력 1W / 프리볼트 / 세미 모듈러 / 80 PLUS 골드 / 무상 7년	2018-04-12	7	267	268
141	마이크로닉스 Classic II 700W 80PLUS 230V EU 화이트 	ATX 파워 / 700W / 20핀+4핀 / 80 PLUS 플레티넘 / 120mm 팬 / 1개(팬) / 액티브PFC / 깊이: 150mm / +12V 싱글레일 / 52.5A / 4핀 IDE x4 / SATA x6 / 6+2핀 PCI-E x4 / 보조8핀(4+4) 커넥터 / 보조8핀 커넥터 / FDD 커넥터 / 대기전력 1W / 플랫케이블 / 80 PLUS 스탠다드 / 무상 6년	2020-05-03	7	269	270
142	쿨러마스터 MWE 600 WHITE 230V V2	ATX 파워 / 600W / 24핀 전용 / 80 PLUS 티타늄 / 120mm 팬 / 1개(팬) / 액티브PFC / 깊이: 140mm / +12V 싱글레일 / 49A / 4핀 IDE x3 / SATA x6 / 6+2핀 PCI-E x4 / 보조8핀(4+4) 커넥터 / 플랫케이블 / 80 PLUS 스탠다드 / DC TO DC	2019-08-07	7	271	272
143	시소닉 FOCUS GOLD GX-1000 Full Modular 	ATX 파워 / 1000W / 24핀 전용 / 80 PLUS 티타늄 / 120mm 팬 / 1개(팬) / 액티브PFC / 깊이: 140mm / +12V 싱글레일 / 83A / 4핀 IDE x5 / SATA x10 / 6+2핀 PCI-E x2 / 보조8핀(4+4) 커넥터 / 수동 팬 조절 / 케이블 연결식 / 대기전력 1W / 플랫케이블 / 프리볼트 / 풀 모듈러 / 80 PLUS 골드 / 무상 10년	2019-09-09	7	273	274
144	시소닉 A12 STANDARD 230V EU SSR-600RA LLC 	ATX 파워 / 600W / 24핀 전용 / 80 PLUS 티타늄 / 120mm 팬 / 1개(팬) / 액티브PFC / 깊이: 140mm / +12V 싱글레일 / 48A / 4핀 IDE x2 / SATA x5 / 6+2핀 PCI-E x4 / 보조8핀(4+4) 커넥터 / 대기전력 1W / 플랫케이블 / 80 PLUS 스탠다드 / 무상 5년	2020-05-01	7	275	276
145	시소닉 S12III Bronze SSR-650GB3 Single Rail 	ATX 파워 / 650W / 20핀+4핀 / 80 PLUS 스탠다드 / 120mm 팬 / 1개(팬) / 액티브PFC / 깊이: 140mm / +12V 싱글레일 / 54A / 4핀 IDE x3 / SATA x6 / 6+2핀 PCI-E x4 / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 대기전력 1W / 플랫케이블 / 프리볼트 / 80 PLUS 브론즈	2019-07-14	7	277	278
146	EVGA 750 GQ 80PLUS GOLD 	ATX 파워 / 750W / 24핀 전용 / 80 PLUS 스탠다드 / 135mm 팬 / 1개(팬) / 액티브PFC / 깊이: 165mm / +12V 싱글레일 / 62.4A / 4핀 IDE x3 / SATA x9 / 6+2핀 PCI-E x6 / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 케이블 연결식 / 프리볼트 / 세미 모듈러 / 80 PLUS 골드 / 무상 5년	2018-03-12	7	279	280
147	Enermax MAXPRO II EMP600AGT-C 80Plus Standard 230V EU 	ATX 파워 / 600W / 20핀+4핀 / 80 PLUS 실버 / 120mm 팬 / 1개(팬) / 액티브PFC / 깊이: 140mm / 46A / 4핀 IDE x3 / SATA x6 / 6+2핀 PCI-E x2 / 보조8핀(4+4) 커넥터 / 플랫케이블 / 80 PLUS 스탠다드 / 무상 5년	2020-01-12	7	281	282
148	CORSAIR SF750 80 PLUS Platinum 	M-ATX(SFX) 파워 / 750W / 20핀+4핀 / 80 PLUS 실버 / 92mm 팬 / 1개(팬) / 액티브PFC / 깊이: 100mm / +12V 싱글레일 / 62.5A / 4핀 IDE x3 / SATA x4 / 6+2핀 PCI-E x2 / 보조8핀(4+4) 커넥터 / 케이블 연결식 / 프리볼트 / 풀 모듈러 / 80 PLUS 플레티넘 / 무상 7년	2019-01-12	7	283	284
149	쿨러마스터 MWE 500 WHITE 230V V2 	ATX 파워 / 500W / 24핀 전용 / 80 PLUS 실버 / 120mm 팬 / 1개(팬) / 액티브PFC / 깊이: 140mm / +12V 싱글레일 / 41A / 4핀 IDE x3 / SATA x6 / 6+2핀 PCI-E x2 / 보조8핀(4+4) 커넥터 / 플랫케이블 / 80 PLUS 스탠다드 / DC TO DC	2019-08-01	7	285	286
150	COOLMAX FOCUS 500W 80Plus 230V EU	ATX 파워 / 500W / 20핀+4핀 / 80 PLUS 브론즈 / 120mm 팬 / 1개(팬) / 액티브PFC / +12V 다중레일 / 22A, 22A / 4핀 IDE x3 / SATA x4 / 6+2핀 PCI-E x2 / 보조8핀(4+4) 커넥터 / 대기전력 1W / 80 PLUS 스탠다드 / 무상 5년	2016-11-23	7	287	288
